,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
429,offline,standard,-36,0,363.0,MM,0
430,offline,standard,6,0,229.0,MM,1
431,offline,standard,-4,0,346.0,MM,0
432,offline,standard,-7,0,203.0,MM,0
433,offline,standard,-21,0,225.0,MM,0
434,offline,standard,15,1,322.0,MM,1
435,offline,standard,-15,0,367.0,MM,0
436,offline,standard,8,0,314.0,MM,0
437,offline,standard,-7,0,210.0,MM,0
438,offline,standard,-3,0,431.0,MM,1
439,offline,standard,0,0,300.0,FF,0
440,offline,standard,-7,0,220.0,FF,0
441,offline,standard,0,0,311.0,FF,0
442,offline,standard,12,0,346.0,FF,1
443,offline,standard,11,0,229.0,FF,1
444,offline,standard,9,0,348.0,FF,1
445,offline,standard,-1,0,332.0,FF,1
446,offline,standard,2,0,242.0,FF,0
447,offline,standard,12,0,283.0,FF,1
448,offline,standard,3,0,226.0,MM,0
449,offline,standard,19,0,219.0,MM,0
450,offline,standard,19,0,229.0,MM,1
451,offline,standard,10,0,249.0,MM,1
452,offline,standard,0,0,210.0,MM,0
453,offline,standard,-18,0,296.0,MM,0
454,offline,standard,1,0,302.0,MM,0
455,offline,standard,7,0,298.0,MM,0
456,offline,standard,27,0,337.0,MM,0
457,offline,standard,-8,0,333.0,MM,0
458,offline,standard,18,0,304.0,MM,0
459,offline,standard,17,0,278.0,MM,1
460,offline,standard,-7,0,367.0,MM,1
461,offline,standard,8,0,256.0,MM,0
462,offline,standard,-9,0,272.0,MM,1
463,offline,standard,1,0,293.0,MM,0
464,offline,standard,9,0,237.0,MM,0
465,offline,standard,-7,0,245.0,MM,1
466,offline,standard,18,0,236.0,MM,1
467,offline,standard,15,0,459.0,MM,0
468,offline,standard,5,0,392.0,MM,0
469,offline,standard,20,0,325.0,MM,0
470,offline,standard,-8,0,230.0,MM,0
471,offline,standard,11,0,496.0,MM,0
472,offline,standard,3,0,404.0,MM,0
473,offline,standard,-1,0,320.0,MM,0
474,offline,blitz,7,0,332.0,MM,1
475,offline,blitz,-21,0,279.0,MM,1
476,offline,blitz,-6,0,256.0,MM,1
477,offline,blitz,-2,1,246.0,MM,0
478,offline,blitz,-2,0,246.0,MM,1
479,offline,blitz,-27,-1,244.0,MM,0
480,offline,blitz,-4,0,235.0,MM,1
481,offline,blitz,2,-1,218.0,MM,0
482,offline,blitz,-7,0,218.0,MM,1
483,offline,blitz,-5,-1,214.0,MM,0
484,offline,blitz,13,0,206.0,MM,0
485,offline,blitz,13,0,205.0,MM,1
486,offline,blitz,0,-1,212.0,MM,0
487,offline,blitz,9,0,205.0,MM,0
488,offline,blitz,21,0,219.0,MM,0
489,offline,blitz,11,0,218.0,MM,1
490,offline,blitz,-28,0,230.0,MM,0
491,offline,blitz,6,-1,228.0,MM,1
492,offline,blitz,1,-1,229.0,MM,0
493,offline,blitz,-2,-1,228.0,MM,1
494,offline,blitz,-6,1,200.0,MM,1
495,offline,blitz,13,0,206.0,MM,1
496,offline,blitz,1,-1,344.0,MM,0
497,offline,blitz,-12,0,283.0,MM,1
498,offline,blitz,-15,0,252.0,MM,1
499,offline,blitz,0,0,249.0,MM,0
500,offline,blitz,-6,0,232.0,MM,0
501,offline,blitz,1,0,246.0,MM,0
502,offline,blitz,-2,0,265.0,MM,0
503,offline,blitz,6,-1,261.0,MM,0
504,offline,blitz,-9,-1,238.0,MM,1
505,offline,blitz,5,0,249.0,MM,0
506,offline,blitz,-4,-1,241.0,MM,0
507,offline,blitz,-2,0,244.0,MM,1
508,offline,blitz,9,0,251.0,MM,0
509,offline,blitz,-29,0,250.0,MM,0
510,offline,blitz,-23,0,249.0,MM,0
511,offline,blitz,-12,-1,214.0,MM,0
512,offline,blitz,0,-1,269.0,MM,0
513,offline,blitz,11,1,323.0,MM,1
514,offline,blitz,1,0,220.0,MM,0
515,offline,blitz,28,0,245.0,MM,1
516,offline,blitz,5,0,285.0,MM,0
517,offline,blitz,-4,0,245.0,MM,1
518,offline,blitz,-2,-1,334.0,MM,0
519,offline,blitz,6,0,233.0,MM,1
520,offline,blitz,-35,0,249.0,MM,0
521,offline,blitz,0,0,203.0,MM,0
522,offline,blitz,-1,0,322.0,MM,1
523,offline,blitz,1,-1,203.0,MM,0
524,offline,blitz,17,0,324.0,MM,0
525,offline,blitz,-37,0,277.0,MM,0
526,offline,blitz,6,0,260.0,MM,0
527,offline,blitz,7,0,242.0,MM,0
528,offline,blitz,3,0,203.0,MM,0
529,offline,blitz,2,0,331.0,MM,0
530,offline,blitz,0,0,371.0,MM,0
531,offline,blitz,-4,-1,285.0,MM,0
532,offline,blitz,0,0,204.0,MM,0
533,offline,blitz,0,-1,288.0,MM,1
